input,pollutant,lag,RR,ci_low,ci_high
senior,PM25,1,0.997055944,0.99127691,1.00286867
senior,PM25,2,1.002198346,0.99818908,1.006223715
senior,PM25,3,1.005372504,1.000060291,1.010712935
senior,PM25,4,1.005604043,1.00022379,1.011013237
senior,PM25,5,1.002890929,0.998886351,1.006911562
senior,PM25,6,0.998204592,0.992978461,1.003458228
senior,PM25,7,0.992555972,0.982797887,1.002410945
urban,PM25,0,0.9941456,0.979333139,1.009182099
urban,PM25,1,0.997965961,0.989947056,1.006049821
urban,PM25,2,1.001118282,0.995605021,1.006662073
urban,PM25,3,1.002912205,0.995607747,1.010270254
urban,PM25,4,1.002685115,0.995282306,1.010142986
urban,PM25,5,1.000438384,0.994934273,1.005972944
urban,PM25,6,0.996836621,0.989645022,1.00408048
urban,PM25,7,0.992570933,0.97910825,1.006218727
adult,SO2,0,1.099348547,0.733538339,1.64758563
adult,SO2,1,1.051958599,0.839096494,1.318819591
adult,SO2,2,1.013622329,0.854302307,1.202654162
adult,SO2,3,0.990335275,0.795751403,1.232500442
adult,SO2,4,0.987655692,0.790986732,1.233223931
adult,SO2,5,1.005416798,0.842188721,1.200280784
adult,SO2,6,1.037803812,0.832684779,1.293450752
adult,SO2,7,1.078695,0.732686933,1.5881038
all_CA,SO2,0,1.000076758,0.827477338,1.208677842
all_CA,SO2,1,1.049029322,0.943838075,1.165944188
all_CA,SO2,2,1.09174639,1.008185651,1.182232835
all_CA,SO2,3,1.118447466,1.009969051,1.238577295
all_CA,SO2,4,1.119415857,1.009230984,1.241630392
all_CA,SO2,5,1.094584663,1.007648458,1.189021403
all_CA,SO2,6,1.053578624,0.950132925,1.168286971
all_CA,SO2,7,1.006153836,0.839081976,1.206491822
female,SO2,0,1.197641414,0.898555803,1.596278107
female,SO2,1,1.172406852,0.998569264,1.376507244
female,SO2,2,1.149309383,1.018639718,1.296741168
female,SO2,3,1.129821097,0.968273217,1.318321823
female,SO2,4,1.115265581,0.95342517,1.304577805
female,SO2,5,1.105459432,0.974974307,1.253407958
female,SO2,6,1.098807065,0.939090299,1.285687827
female,SO2,7,1.09372248,0.830479644,1.440407206
male,SO2,0,0.878211789,0.68495688,1.125991971
male,SO2,1,0.970176813,0.844705732,1.114285145
male,SO2,2,1.055848283,0.951041881,1.172204526
male,SO2,3,1.115193278,0.975207501,1.275273258
male,SO2,4,1.126851377,0.983396422,1.291233115
male,SO2,5,1.08930879,0.977303626,1.214150454
male,SO2,6,1.021958769,0.892567153,1.170107731
male,SO2,7,0.944527789,0.744277697,1.198655754
rural,SO2,0,0.948214961,0.73972016,1.21547534
rural,SO2,1,1.01567184,0.884040138,1.166903222
rural,SO2,2,1.075600843,0.968576026,1.194451589
rural,SO2,3,1.113399665,0.973832348,1.272969436
rural,SO2,4,1.114321697,0.972665957,1.276607695
rural,SO2,5,1.078275246,0.967032784,1.202314468
rural,SO2,6,1.019884317,0.889956515,1.168780724
rural,SO2,7,0.953725307,0.75106093,1.211076125
senior,SO2,0,0.978927631,0.79119573,1.211203839
senior,SO2,1,1.050280723,0.932731629,1.182644142
senior,SO2,2,1.113797452,1.018583144,1.217912129
senior,SO2,3,1.153982126,1.02909078,1.294030394
senior,SO2,4,1.155155847,1.028276261,1.297691177
senior,SO2,5,1.117199458,1.018036379,1.226021638
senior,SO2,6,1.05563283,0.939813154,1.185725766
senior,SO2,7,0.985918641,0.803810148,1.209285016
urban,SO2,0,1.072583345,0.798627391,1.44051537
urban,SO2,1,1.092698545,0.927392324,1.287470339
urban,SO2,2,1.109950949,0.981245722,1.255537813
urban,SO2,3,1.120922072,0.956678329,1.313363389
urban,SO2,4,1.122282315,0.955363126,1.318365302
urban,SO2,5,1.113996642,0.980007483,1.266305147
urban,SO2,6,1.099344623,0.937178371,1.289571589
urban,SO2,7,1.081727667,0.816522439,1.433071142
